"","observation_date","American Crow","American Goldfinch","American Kestrel","American Redstart","American Robin","Bald Eagle","Baltimore Oriole","Barn Swallow","Barred Owl","Bay-breasted Warbler","Belted Kingfisher","Black Vulture","Black-and-white Warbler","Black-billed Cuckoo","Black-crowned Night-Heron","Black-throated Blue Warbler","Black-throated Green Warbler","Blackpoll Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Blue-headed Vireo","Blue-winged Teal","Bobolink","Broad-winged Hawk","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Canada Goose","Cape May Warbler","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chestnut-sided Warbler","Chimney Swift","Chipping Sparrow","Chuck-will's-widow","Cliff Swallow","Common Grackle","Common Yellowthroat","Cooper's Hawk","Double-crested Cormorant","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Forster's Tern","Grasshopper Sparrow","Gray Catbird","Great Blue Heron","Great Crested Flycatcher","Great Egret","Green Heron","Hairy Woodpecker","Hooded Warbler","House Finch","House Sparrow","House Wren","Indigo Bunting","Kentucky Warbler","Killdeer","Lark Sparrow","Least Sandpiper","Lesser Yellowlegs","Louisiana Waterthrush","Magnolia Warbler","Mallard","Mississippi Kite","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Northern Parula","Northern Rough-winged Swallow","Northern Waterthrush","Orchard Oriole","Osprey","Ovenbird","Palm Warbler","Pileated Woodpecker","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Rock Pigeon","Rose-breasted Grosbeak","Ruby-crowned Kinglet","Ruby-throated Hummingbird","Savannah Sparrow","Scarlet Tanager","Sharp-shinned Hawk","Solitary Sandpiper","Song Sparrow","Sora","Spotted Sandpiper","Summer Tanager","Swainson's Thrush","Tennessee Warbler","Tree Swallow","Tufted Titmouse","Turkey Vulture","Veery","Virginia Rail","Warbling Vireo","White-breasted Nuthatch","White-crowned Sparrow","White-eyed Vireo","White-throated Sparrow","Wild Turkey","Willow Flycatcher","Wilson's Snipe","Wood Duck","Wood Thrush","Worm-eating Warbler","Yellow Warbler","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-rumped Warbler","Yellow-throated Vireo","Blackburnian Warbler","Cerulean Warbler","Nashville Warbler","Philadelphia Vireo","Red-headed Woodpecker","Swainson's Warbler","Swamp Sparrow","Common Nighthawk","Muscovy Duck","Purple Finch","Gray-cheeked Thrush","Great Horned Owl","Least Flycatcher","Red-breasted Nuthatch","Vesper Sparrow","Acadian Flycatcher","Bank Swallow","Canada Warbler","Wilson's Warbler","Yellow-throated Warbler","Dickcissel","American Woodcock","Olive-sided Flycatcher","Cattle Egret","Lincoln's Sparrow","Connecticut Warbler","Common Raven","Mourning Warbler","Mute Swan","Semipalmated Sandpiper","Marsh Wren","Semipalmated Plover","White-rumped Sandpiper","Yellow-bellied Sapsucker","Pine Siskin","American Bittern","Pectoral Sandpiper","Blue-winged Warbler","American Avocet","Black Tern","Yellow-bellied Flycatcher","Short-billed Dowitcher","Willet","Eastern Whip-poor-will","Eared Grebe","Horned Grebe","Golden-winged Warbler","Merlin","Caspian Tern","Laughing Gull","Orange-crowned Warbler","Pied-billed Grebe","Greater Yellowlegs","Brown Creeper","Golden-crowned Kinglet","Northern Harrier","Winter Wren","Hermit Thrush","Bonaparte's Gull","Northern Shoveler","American Coot","Dark-eyed Junco","Peregrine Falcon","Gadwall","Ring-necked Duck","American Pipit","Common Loon","Green-winged Teal","Northern Pintail","Surf Scoter","Fox Sparrow","Rusty Blackbird","Sedge Wren","Purple Gallinule","Hooded Merganser","Ring-billed Gull","American Black Duck","Ruddy Duck","American Wigeon","Bufflehead","Canvasback","Redhead","Lesser Scaup","Sandhill Crane","Red-breasted Merganser","Snow Goose","Greater Scaup","American White Pelican","Egyptian Goose","Herring Gull","Red-throated Loon","Greater White-fronted Goose","Ross's Goose","Red-necked Grebe","Common Merganser","Barn Owl","Eurasian Collared-Dove","Little Gull","Franklin's Gull","Black-bellied Whistling-Duck","Little Blue Heron"
"71",2022-07-10,32,NA,1,1,82,1,NA,18,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,31,2,NA,NA,NA,NA,11,10,NA,32,NA,NA,40,13,NA,29,3,NA,23,105,7,3,14,NA,24,5,3,4,NA,43,2,58,18,2,NA,NA,4,9,1,2,4,1,NA,NA,39,3,20,NA,3,NA,NA,NA,NA,NA,9,NA,NA,2,NA,9,41,2,30,NA,4,10,NA,NA,2,NA,NA,NA,8,NA,3,4,4,67,70,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,3,NA,NA,24,NA,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,4,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2022-07-11,8,NA,NA,NA,38,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,7,NA,NA,8,NA,NA,NA,2,NA,8,NA,NA,35,4,NA,NA,NA,NA,16,3,NA,NA,NA,14,2,27,10,4,NA,1,NA,4,2,3,2,NA,NA,NA,1,NA,8,NA,2,NA,NA,NA,1,NA,5,NA,NA,2,NA,3,13,NA,5,NA,NA,6,NA,NA,1,NA,NA,NA,1,10,1,2,1,5,4,NA,NA,NA,NA,NA,1,NA,12,NA,1,4,NA,NA,14,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2022-07-12,30,NA,NA,NA,NA,NA,2,7,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,15,1,NA,NA,NA,NA,5,4,1,30,NA,NA,NA,5,NA,9,1,NA,8,26,3,1,5,NA,12,4,1,2,NA,15,NA,31,4,11,NA,NA,NA,6,NA,3,3,NA,NA,NA,2,1,5,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,26,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,9,8,NA,NA,2,6,24,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2022-07-13,21,NA,NA,NA,37,NA,NA,11,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,18,1,NA,NA,NA,NA,8,14,NA,3,NA,NA,NA,2,NA,4,5,NA,NA,31,6,2,6,NA,22,1,NA,3,NA,27,NA,37,5,11,NA,NA,NA,2,NA,1,1,NA,NA,NA,6,2,7,NA,1,NA,NA,NA,NA,NA,14,NA,NA,2,NA,NA,22,NA,9,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,4,27,NA,NA,NA,NA,NA,NA,NA,14,NA,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2022-07-14,20,NA,NA,NA,19,NA,NA,33,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,20,2,NA,NA,NA,NA,7,1,NA,17,NA,NA,32,16,NA,13,NA,NA,8,27,25,NA,6,NA,19,7,NA,1,NA,31,2,20,20,4,NA,NA,2,3,1,1,2,NA,NA,NA,5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21,NA,16,NA,2,6,NA,NA,2,NA,NA,1,NA,14,NA,2,4,15,41,NA,NA,11,NA,NA,NA,NA,12,NA,NA,3,NA,NA,6,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,3,NA,1,3,12,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2022-07-15,25,NA,NA,1,54,1,NA,12,NA,NA,4,4,1,NA,NA,NA,NA,NA,7,22,2,NA,NA,NA,NA,11,6,1,75,NA,NA,NA,10,NA,32,1,NA,2,94,14,1,6,NA,33,7,NA,4,NA,NA,1,63,19,3,NA,NA,1,10,1,1,6,NA,NA,NA,3,NA,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,29,NA,9,NA,4,7,NA,NA,4,NA,NA,1,6,13,2,3,5,7,2,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,5,NA,NA,14,NA,8,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,10,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2022-07-16,17,NA,1,NA,NA,1,NA,14,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,25,5,NA,NA,NA,NA,9,8,NA,83,NA,NA,43,31,NA,9,NA,NA,28,7,45,2,8,NA,28,6,NA,6,NA,21,2,29,37,3,NA,NA,6,3,2,1,7,NA,NA,NA,10,NA,44,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,27,NA,5,NA,1,12,NA,NA,4,NA,NA,NA,2,NA,NA,2,6,10,42,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,3,NA,NA,15,NA,10,NA,NA,NA,NA,NA,3,NA,6,NA,NA,4,3,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2022-07-17,20,NA,NA,NA,NA,NA,NA,48,NA,NA,1,4,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,6,3,NA,21,NA,NA,34,11,NA,20,NA,NA,1,56,18,1,7,NA,25,3,NA,1,NA,26,2,37,11,7,NA,NA,NA,7,3,2,3,NA,NA,NA,7,1,14,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,3,17,NA,30,NA,NA,6,NA,NA,2,NA,NA,NA,5,NA,NA,1,2,5,43,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,1,NA,NA,10,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2022-07-18,17,NA,1,NA,NA,1,NA,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,14,4,NA,NA,NA,NA,6,2,NA,44,NA,NA,NA,NA,NA,19,1,NA,NA,66,2,2,38,NA,20,4,NA,NA,NA,14,NA,23,1,9,NA,NA,3,1,3,NA,4,1,NA,NA,5,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,1,NA,NA,2,4,NA,NA,NA,NA,NA,NA,6,6,NA,NA,1,8,25,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2022-07-19,32,NA,NA,NA,NA,1,NA,24,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,18,4,NA,NA,NA,NA,4,NA,2,56,NA,NA,NA,17,NA,17,1,NA,2,16,2,NA,15,NA,16,6,NA,2,NA,21,NA,8,2,5,NA,NA,3,4,1,2,2,1,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,7,1,1,4,7,29,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,18,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2022-07-20,24,50,2,1,63,NA,NA,15,NA,NA,1,12,NA,NA,NA,NA,NA,NA,4,21,2,NA,NA,NA,NA,7,2,NA,14,NA,20,33,6,NA,14,2,NA,NA,12,4,2,13,7,20,9,17,2,NA,39,NA,730,15,2,NA,NA,3,4,2,1,3,NA,NA,77,9,1,12,NA,10,NA,NA,NA,NA,NA,17,NA,64,NA,61,2,74,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,1,8,1,NA,2,20,130,NA,NA,13,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,26,12,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2022-07-21,24,NA,1,NA,21,2,NA,30,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,4,2,NA,18,NA,NA,NA,2,NA,14,2,NA,2,4,20,3,10,NA,18,3,5,2,NA,31,3,202,29,4,NA,NA,1,7,1,NA,3,NA,NA,NA,6,NA,20,NA,18,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,38,NA,NA,NA,NA,6,NA,NA,1,NA,1,NA,NA,9,1,NA,4,6,33,NA,NA,NA,NA,1,NA,NA,17,NA,NA,4,NA,NA,5,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2022-07-22,13,NA,1,NA,33,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,2,NA,NA,NA,NA,3,1,NA,6,NA,NA,NA,8,NA,1,4,NA,1,15,1,NA,13,NA,23,2,2,4,NA,13,NA,11,3,8,NA,NA,NA,3,NA,1,5,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,21,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,2,9,NA,NA,1,3,40,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2022-07-23,32,NA,1,1,NA,NA,NA,33,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,10,3,3,102,NA,NA,NA,4,NA,12,6,NA,49,13,3,NA,21,NA,27,8,NA,1,NA,27,2,45,25,11,NA,NA,7,7,3,NA,3,NA,NA,NA,NA,1,17,NA,14,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,1,19,2,23,NA,1,5,NA,NA,3,NA,NA,NA,14,15,NA,3,2,24,28,NA,NA,NA,NA,3,NA,NA,8,NA,NA,3,NA,NA,10,NA,2,NA,NA,NA,NA,NA,5,NA,9,NA,NA,2,3,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2022-07-24,47,39,2,NA,43,1,NA,25,NA,NA,7,3,1,NA,NA,NA,NA,NA,7,21,12,NA,NA,NA,1,11,2,NA,92,NA,30,49,2,NA,25,3,NA,3,15,14,2,10,8,43,9,22,6,1,27,NA,168,23,9,NA,NA,1,7,1,2,4,NA,NA,104,3,3,53,NA,4,NA,NA,NA,NA,NA,10,NA,55,3,85,3,36,2,3,NA,2,9,NA,NA,2,NA,NA,NA,1,22,2,6,6,13,49,NA,NA,32,NA,NA,1,NA,17,NA,NA,2,NA,NA,15,25,2,NA,NA,NA,10,NA,2,NA,2,1,NA,8,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2022-07-25,22,NA,NA,NA,23,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,5,NA,NA,6,NA,NA,NA,6,NA,19,1,NA,NA,10,NA,NA,1,NA,25,6,NA,2,NA,NA,1,142,5,2,NA,NA,1,2,NA,2,1,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,10,10,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2022-07-26,33,NA,NA,NA,45,NA,NA,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,8,NA,NA,NA,NA,3,1,2,88,NA,NA,30,1,NA,10,7,NA,NA,8,3,1,11,NA,23,NA,NA,4,NA,NA,1,13,7,2,NA,NA,2,7,NA,1,3,1,NA,NA,1,NA,14,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,2,8,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,6,NA,NA,2,3,NA,29,NA,NA,NA,NA,NA,1,NA,8,NA,NA,1,NA,NA,7,NA,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2022-07-27,17,NA,NA,NA,27,NA,NA,24,1,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,8,NA,32,NA,NA,NA,1,NA,2,4,NA,NA,9,4,1,7,NA,11,10,NA,3,NA,NA,1,749,9,3,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1,10,NA,1,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,1,26,NA,2,NA,1,7,NA,NA,NA,NA,1,NA,NA,7,1,NA,3,NA,77,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
