"","observation_date","American Coot","American Crow","American Goldfinch","American Robin","American Woodcock","Bald Eagle","Belted Kingfisher","Black Vulture","Black-crowned Night-Heron","Blue Jay","Bonaparte's Gull","Brown Thrasher","Brown-headed Nuthatch","Bufflehead","Canada Goose","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Cooper's Hawk","Dark-eyed Junco","Downy Woodpecker","Eastern Bluebird","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","European Starling","Field Sparrow","Gadwall","Golden-crowned Kinglet","Great Blue Heron","Great Horned Owl","Green-winged Teal","Hairy Woodpecker","Hermit Thrush","Hooded Merganser","Horned Grebe","House Finch","House Sparrow","Killdeer","Mallard","Mourning Dove","Northern Cardinal","Northern Flicker","Northern Harrier","Northern Mockingbird","Northern Shoveler","Palm Warbler","Pied-billed Grebe","Pileated Woodpecker","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Ring-billed Gull","Ring-necked Duck","Rock Pigeon","Ruby-crowned Kinglet","Song Sparrow","Swamp Sparrow","Tufted Titmouse","Turkey Vulture","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Winter Wren","Yellow-bellied Sapsucker","Yellow-rumped Warbler","Yellow-throated Warbler","American Kestrel","American Pipit","Chipping Sparrow","Common Yellowthroat","Eastern Meadowlark","Fox Sparrow","Horned Lark","Merlin","Orange-crowned Warbler","Rusty Blackbird","Savannah Sparrow","Wilson's Snipe","Wood Duck","Brown-headed Cowbird","Brown Creeper","American Wigeon","Lesser Scaup","Redhead","Ruddy Duck","Sharp-shinned Hawk","Double-crested Cormorant","Fish Crow","Red-breasted Merganser","Barred Owl","Herring Gull","Pine Siskin","Wild Turkey","Nashville Warbler","Common Grackle","Rufous Hummingbird","American Black Duck","Common Goldeneye","Northern Pintail","Lesser Black-backed Gull","Muscovy Duck","Common Loon","Vesper Sparrow","Greater Yellowlegs","Great Egret","Tree Swallow","Osprey","White-winged Scoter","Virginia Rail","Ross's Goose","Canvasback","Blue-winged Teal","Greater Scaup","Barn Owl","Eastern Whip-poor-will","Northern Rough-winged Swallow","Common Raven","Purple Martin","Lesser Yellowlegs","Barn Swallow","Blue-gray Gnatcatcher","Cliff Swallow","Northern Bobwhite","Black-and-white Warbler","Blue-headed Vireo","Black-throated Green Warbler","Pectoral Sandpiper","Red-headed Woodpecker","Chimney Swift","White-eyed Vireo","Louisiana Waterthrush","Broad-winged Hawk","Caspian Tern","Eastern Kingbird","Solitary Sandpiper","Black-throated Blue Warbler","Green Heron","Northern Parula","Ruby-throated Hummingbird","Worm-eating Warbler","Yellow Warbler","Indigo Bunting","Marsh Wren","Spotted Sandpiper","Yellow-throated Vireo","Hooded Warbler","House Wren","Rose-breasted Grosbeak","Ovenbird","Prairie Warbler","American Redstart","Red-eyed Vireo","Scarlet Tanager","Prothonotary Warbler","Wood Thrush","Forster's Tern","Cerulean Warbler","Blackburnian Warbler","Blue-winged Warbler","Gray Catbird","Orchard Oriole","Semipalmated Sandpiper","Baltimore Oriole","Blackpoll Warbler","Blue Grosbeak","Cape May Warbler","Northern Waterthrush","Summer Tanager","Swainson's Warbler","Tennessee Warbler","Yellow-billed Cuckoo","Great Crested Flycatcher","Chuck-will's-widow","Acadian Flycatcher","Yellow-breasted Chat","Bobolink","Chestnut-sided Warbler","Eastern Wood-Pewee","Kentucky Warbler","Sora","Black-billed Cuckoo","American Bittern","Common Nighthawk","Grasshopper Sparrow","Magnolia Warbler","Golden-winged Warbler","Swainson's Thrush","Bay-breasted Warbler","Canada Warbler","Warbling Vireo","Willow Flycatcher","Gray-cheeked Thrush","Veery","Bank Swallow","Philadelphia Vireo","Lincoln's Sparrow","Snowy Egret","Dickcissel","Mourning Warbler","Sedge Wren","Alder Flycatcher","Cattle Egret","Little Blue Heron","Black Tern","Eurasian Collared-Dove","Least Sandpiper","Red-breasted Nuthatch","Wilson's Warbler","Surf Scoter","Bohemian Waxwing","Snow Goose","Greater White-fronted Goose","Franklin's Gull","Brewer's Blackbird","Graylag Goose","Peregrine Falcon","Sandhill Crane","Common Merganser","Long-tailed Duck","American White Pelican","Dunlin","White-winged Dove","Lark Sparrow","Swallow-tailed Kite","White-rumped Sandpiper","Western Sandpiper","Willet","Olive-sided Flycatcher","Mississippi Kite","Common Gallinule","Helmeted Guineafowl","Upland Sandpiper","Least Flycatcher","American Avocet","Brant","Golden Eagle","Cackling Goose","Harris's Sparrow","Indian Peafowl","Mute Swan","Yellow-crowned Night-Heron","White-faced Ibis","Connecticut Warbler","Mandarin Duck","Clay-colored Sparrow","Nelson's Sparrow","Whooping Crane","Red-necked Grebe","Ring-necked Pheasant","American Golden-Plover","Yellow-bellied Flycatcher","Semipalmated Plover","Black-headed Parrot","Laughing Gull","Nanday Parakeet","Long-billed Dowitcher","Red Junglefowl","Brown Pelican","Ruffed Grouse","Egyptian Goose","Evening Grosbeak","Northern Saw-whet Owl","Black Scoter","Red-throated Loon","Loggerhead Shrike","Red-necked Phalarope","Common Tern","Painted Bunting","Short-billed Dowitcher","Eared Grebe","Purple Gallinule"
"259",2016-09-15,NA,19,12,32,NA,1,3,6,NA,38,NA,8,NA,NA,3,32,31,NA,1,NA,7,7,1,NA,4,66,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,12,5,4,2,44,30,4,NA,17,NA,NA,NA,1,1,NA,13,2,1,2,NA,NA,NA,NA,5,NA,18,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",2016-09-16,NA,21,82,9,NA,2,2,8,NA,40,NA,7,NA,NA,3,29,24,16,3,NA,9,5,3,NA,5,13,17,NA,NA,9,NA,NA,2,NA,NA,NA,10,NA,NA,NA,15,28,3,NA,6,NA,NA,NA,1,NA,NA,20,1,NA,NA,NA,NA,NA,NA,7,NA,21,7,8,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,12,5,NA,NA,NA,2,NA,NA,NA,NA,6,NA,2,23,NA,NA,1,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",2016-09-17,NA,9,5,3,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,15,6,17,NA,NA,NA,2,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,11,2,NA,2,NA,NA,NA,NA,NA,NA,7,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,120,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",2016-09-18,NA,12,5,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,3,5,NA,NA,NA,2,3,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",2016-09-19,NA,19,10,17,NA,NA,2,NA,NA,20,NA,7,NA,NA,22,29,34,10,NA,NA,4,11,3,NA,4,NA,NA,NA,NA,2,2,NA,4,NA,NA,NA,NA,NA,1,NA,8,26,3,NA,7,NA,1,NA,5,NA,NA,15,2,1,NA,NA,NA,NA,NA,NA,NA,21,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,NA,NA,NA,NA,NA,NA,1,NA,14,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,3,NA,NA,NA,4,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",2016-09-20,NA,21,9,15,NA,NA,1,NA,NA,36,NA,2,NA,NA,NA,8,18,NA,2,NA,4,2,1,NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3,26,1,NA,4,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",2016-09-21,NA,7,2,10,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,11,7,11,1,NA,1,8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,12,1,NA,8,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,2,NA,10,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",2016-09-22,NA,23,7,11,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,8,12,10,1,NA,5,1,1,NA,2,15,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,12,2,NA,6,NA,NA,NA,1,NA,NA,7,1,2,NA,NA,NA,NA,NA,1,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",2016-09-23,NA,3,7,10,NA,NA,1,1,NA,13,NA,NA,NA,NA,NA,12,9,NA,1,NA,4,NA,4,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,2,3,13,2,NA,3,NA,NA,NA,1,NA,NA,8,NA,1,NA,NA,NA,3,NA,NA,NA,12,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",2016-09-24,NA,26,NA,17,NA,NA,4,NA,NA,60,NA,8,2,NA,179,41,39,35,1,NA,8,24,7,NA,15,40,NA,NA,NA,7,2,NA,NA,NA,NA,NA,12,NA,8,12,11,38,6,NA,17,NA,NA,NA,5,1,NA,22,3,3,162,NA,NA,27,NA,10,NA,29,11,9,NA,NA,NA,NA,NA,NA,3,NA,3,14,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,59,4,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,17,NA,3,NA,NA,NA,NA,NA,NA,9,NA,64,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",2016-09-25,1,82,38,24,NA,1,5,11,NA,107,NA,19,1,NA,NA,68,61,29,5,NA,30,43,25,NA,21,162,29,NA,NA,13,NA,NA,1,NA,NA,NA,58,17,34,6,70,73,15,NA,55,NA,4,1,7,3,NA,44,5,3,112,NA,NA,89,1,46,NA,29,7,12,NA,NA,NA,NA,NA,2,2,NA,NA,26,9,NA,NA,NA,NA,NA,4,NA,3,16,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,6,80,8,NA,1,NA,NA,NA,NA,1,NA,11,NA,NA,24,NA,NA,NA,2,4,1,NA,NA,4,4,2,NA,6,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,13,NA,54,NA,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",2016-09-26,NA,19,44,19,NA,NA,2,11,NA,14,NA,2,NA,NA,NA,16,18,NA,1,NA,5,5,3,NA,4,79,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,59,10,NA,NA,10,19,3,NA,4,NA,NA,NA,NA,NA,NA,10,NA,1,2,NA,NA,30,NA,1,NA,7,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",2016-09-27,NA,34,5,23,NA,NA,2,NA,NA,12,NA,4,NA,NA,2,8,14,NA,NA,NA,3,7,2,NA,5,58,NA,NA,NA,4,2,NA,1,NA,NA,NA,10,NA,NA,2,8,22,2,NA,5,NA,1,22,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,6,1,3,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",2016-09-28,NA,43,63,30,NA,3,8,15,NA,63,NA,7,NA,NA,79,53,42,56,1,NA,15,19,10,NA,22,31,20,NA,NA,9,NA,NA,4,NA,NA,NA,22,NA,9,2,19,46,8,NA,25,NA,4,18,6,NA,NA,21,7,5,16,NA,NA,5,NA,11,NA,34,15,13,NA,NA,NA,NA,5,NA,4,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,1,13,3,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,96,NA,NA,NA,1,NA,8,NA,NA,8,1,NA,NA,1,NA,NA,4,NA,12,NA,NA,NA,NA,NA,NA,NA,6,NA,17,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,18,NA,96,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
